cue,defn
"1104. Big Four: Wilson, George
1105. League of Nations,"Devised by President Wilson
1106. Collective Security,"An Article 10 provision of the League charter
"1107. New Nations, self determination"
1108. Reparations,"As part of the Treaty of Versailles
1109. Mandate system,"A half-way system between outright imperial domination and independence
1110. Article 10 (Article X) of the Versailles Treaty,Created the League of Nations.
1111. Article 231 of the Versailles Treaty,"One of the more controversial articles
"1112. Senate rejection, Senator Henry Cabot Lodge
"1113. ""Irreconcilables"": Borah, Johnson
"1114. Red Scare, Palmer raids"
"1115. Strikes: 1919, coal
1116. Inflation during WW I,Caused by increased taxes and the government borrowing money directly from citizens.
"1117. Election of 1920: candidates, issues"
"1118. Brief depression, 1920-1921"
"1119. Election of 1920: candidates, issues
1120. Normalcy,"Harding wanted a return to ""normalcy"" - the way life was before WW I."
1121. Esch-Cummins Transportation Act,"Provided for the return of railroads to private control
1122. Harding scandals: Charles Forbes,Forbes served time for fraud and bribery in connection with government contracts. He took millions of dollars from the Veteran's Bureau.
1123. Harding scandals: Harry Daugherty,Daugherty was implicated for accepting bribes.
1124. Harding scandals: Secretary of the Interior Fall,Fall leased government land to the oil companies (Teapot Dome Scandal) and was convicted of accepting a bribe.
1125. Harding scandals: Teapot Dome,"1929 - The Naval strategic oil reserve at Elk Hills
1126. Harding scandals: Harry Sinclair,He leased government land to the oil companies and was forced to resign due to the investigation. He was acquitted on the bribery charges.
"1127. Harding's death, Coolidge takes over"
1128. Bureau of the Budget,"Created in 1921
"1129. Secretary of the Treasury Mellon, tax cuts"
"1130. Senator George Norris (1861-1944), Muscle Shoals"
1131. Election of 1924: candidates,"With Republican Coolidge running against Democrat Davis and Progressive LaFollette
1132. Robert M. LaFollette (1855-1925),"A great debater and political leader who believed in libertarian reforms
1133. Progressive Party,"The popular name of the ""People's Party
"1134. McNary-Haugen Bill, vetos"
1135. Federal Farm Board,"Agency of the U.S. Department of Agriculture
"1136. Election of 1928: candidates, personalities
"1137. Bruce Barton, The Man Nobody Knows
"1138. Henry L. Mencken, editor of the magazine
"1139. ""The Lost Generation""","Writer Gertrude Stein named the new literary movement when she told Hemingway
"1140. F. Scott Fitzgerald, The Great Gatsby"
"1141. Sinclair Lewis, Main Street
"1142. Theodore Dreiser, An American Tragedy"
"1143. Ernest Hemingway, A Farewell to Arms"
"1144. T.S. Elliot, ""The Waste Land"""
1145. Sigmund Freud's Theories,"An Austrian physician with new ideas on the human mind. One of the founders of the modern science of psychiatry
"1146. KDKA, Pittsburgh"
"1147. Prohibition, Volstead Act
1148. Ku Klux Klan in the 1920's,"Based on the post-Civil War terrorist organization
1149. Fundamentalists,Broad movement in Protestantism in the U.S. which tried to preserve what it considered the basic ideas of Christianity against criticism by liberal theologies. It stressed the literal truths of the Bible and creation.
"1150. Immigration Acts, 1921
1151. Sacco and Vanzetti case,"Nicola Sacco and Bartolomeo Vanzetti were Italian immigrants charged with murdering a guard and robbing a shoe factory in Braintree
1152. Leopold and Loeb case,"Nathan Leopold and Richard Loeb were convicted of killing a young boy
1153. Billy Sunday (1863-1935),"Baseball player and preacher
"1154. Scopes trial, Clarence Darrow
"1155. Henry Ford, the Model T
1156. Cecil B. DeMille (1881-1959),"Motion picture producer and director
1157. The Jazz Singer,"1927 - The first movie with sound
"1158. Rudolph Valentino (1895-1926), Charlie Chaplin"
"1159. New Woman, Flappers"
"1160. Harlem Renaissance, Langston Hughes (1902-1967)"
1161. James Weldon Johnson (1871-1938),"American poet and part of the Harlem Renaissance
"1162. Marcus Garvey (1887-1940), Universal Negro Improvement Association"
"1163. Charles Lindbergh (1902-1974), Spirit of St. Louis"
"1164. Babe Ruth, Jack Dempsey"
1165. Twenty-One Demands,"Name for Japan's demands to the U.S.
"1166. Lansing-Ishii Agreement, 1917"
"1167. Versailles Conference, Versailles Treaty"
"1168. Washington Disarmament Conference, 1921-1922"
"1169. Five Powers Treaty, Four Powers Treaty
1170. 5-3-1 ration,"Tonnage ratio of the construction of large ships
1171. World Court,"The judicial arm of the League of Nations
1172. Reparations,"As part of the Treaty of Versailles
"1173. Dawes Plan, Young Plan"
"1174. Kellogg-Briand Pact, 1928"
1175. Causes of the depression,"Much debt
1176. Depression as an international event,"Europe owed money. Germany had to pay
"1177. Fordney-McCumber Tariff, 1922"
"1178. Hawley-Smoot Tariff, 1930"
"1179. Reconstruction Finance Corporation, RFC"
1180. Bonus Army,"1932 - Facing the financial crisis of the Depression
"1181. ""Hooverville""",Name given to the makeshift shanty towns built in vacant lots during the Depression.
1182. Clark Memorandum,"1928 - Under Secretary of State Reuben Clark
1183. London Naval Conference,1909 - International Naval Conference held in London to adopt an international code of conduct for naval warfare.
1184. Hoover Moratorium,"June 30
"1185. Manchuria, Hoover-Stimson Doctrine"
1186. Mexico's nationalization of oil,"1938 - Mexico nationalized oil fields along the Gulf of Mexico which had been owned by investors from the U.S.
1187. Ambassador Morrow,"Dwight Whitney Morrow served as the U.S. Ambassador to Mexico from 1927 to 1930
1188. Good Neighbor Policy,"Franklin Roosevelt described his foreign policy as that of a ""good neighbor."" The phrase came to be used to describe the U.S. attitude toward the countries of Latin America. Under Roosevelt's ""Good Neighbor Policy
"1189. Norris-LaGuardia (Anti-Injunction) Act, 1932"
"1190. Election of 1932: candidates, issues"
1191. Twentieth Amendment,"Written by George Norris and also called the ""Lame Duck Amendment
1192. Wickersham Commission,"National Law Enforcement Commission
1193. Twenty-First Amendment,"Passed February
"1194. ""Bank Holiday""","March 11
1195. Hundred Days,"March 9
"1196. ""Relief, recovery
1197. Brain trust,"Many of the advisers who helped Roosevelt during his presidential candidacy continued to aid him after he entered the White House. A newspaperman once described the group as ""Roosevelt's Brain Trust."" They were more influential than the Cabinet."
"1198. Emergency Banking Relief Act, 1933"
"1199. Glass-Steagall Banking Reform Act, 1933"
"1200. Gold Clause Act, 1935"
1201. Federal Deposit Insurance Corporation (FDIC),"A federal agency which insures bank deposits
1202. National Industry Recovery Act (NIRA),"The chief measure to promote recovery was the NIRA. It set up the National Recovery Adminstration and set prices
1203. National Industrial Recovery Administration (NIRA),"Founded in 1933 to carry out the plans of the National Industry Recovery Act to fight depression. It established code authorities for each branch of industry or buisness. The code authorities set the lowest prices that could be charged
"1204. National Recovery Administration, ""The Blue Eagle"""
1205. Hugh Johnson,Director of the NRA.
"1206. Agricultural Adjustment Act (AAA), Second AAA"
1207. Soil Conservation and Domestic Allotment Act,1936 - The second AAA appropriated funds for soil conservation paymnets to farmers who would remove land from production.
1208. Civilian Conservation Corps (CCC),"Created in April 1933. Within 4 months
1209. Federal emergency Relief Administation (FERA),Appropriated $500 million for aid to the poor to be distributed by state and local government. Harry Hopkins was the leader of FERA.
1210. Civil Works Admnistration (CWA),"Hired unemployed workers to do make-shift jobs like sweeping streets. Sent men ages 18-24 to camps to work on flood control
"1211. Public Works Administration (PWA), Harold Ickes"
"1212. Works Progress Administration (WPA), Harold Hopkins
1213. Home Owners' Local Corporation (HOLC),Had authority to borrow money to refinance home mortgages and thus prevent forclosures. It lent over $3 billion to 1 million homeowners.
1214. Federal Housing Authorities (FHA),"1934 - Created by Congress to insure long-term
1215. Securities and Exchange Commission (SEC),1934 - Created to supervise stock exchanges and to punish fraud in sercurities trading.
"1216. Tennessee Valley Authority (TVA), Senator Norris"
1217. Rural Electrificaion Committee (REA),May 1936 - Created to provide loans and WPA labor to electric cooperatives to build lines into rural areas not served by private companies.
1218. National Youth Association (NYA),June 1935 - Established as part of the WPA to provide part-time jobs for high school and college students to enable them to stay in school and to help young adults not in school find jobs.
1219. Indian Reorganization Act,"1934 - Restored tribal ownership of lands
1220. Recognition of the U.S.S.R.,"November 1933 - In an effort to open trade with Russia
1221. Section 7A of the NRA,Provided that workers had the right to join unions and to bargain collectively.
1222. Wagner Act,"May 1935 - Replaced Section 7A of the NIRA. It reaffirmed labor's right to unionize
1223. National Labor Relations Board (NLRB),Created to insure fairness in labor-managment relations and the mediate employers' desputes with unions.
"1224. Fair Labor Standards Act, maxium hours and minimum wage"
"1225. Congress of Industrial Organizations (CIO), John L. Lewis"
1226. Sit-down strikes,The strikers occupied the workplace to prevent any production.
"1227. Dust Bowl, Okies
1228. Secretary of Labor Frances Perkins,The nation's first woman cabinet member.
1229. Elanor Roosevelt,A strong first lady who supported civil rights.
1230. Keynesian Economics,"The British economist John Maynard Keynes believed that the government could pull the economy out of a depression by increasing government spending
1231. Deficit spending,"FDR's admnistration was based on this concept. It involved stimulating consumer buying power
"1232. Monetary policy, fiscal policy"
1233. Revenue Act,"1935 - Increased income taxes on higher incomes and also increased inheritance
1234. Liberty League,Formed in 1934 by conservatives to defend business interests and promote the open shop.
"1235. Coalition of the Democratic Party: Blacks, unions
"1236. Huey Long, Share the Wealth
1237. Father Charles Coughlin,"Headed the National Union for Social Justice. Began as a religious radio broadcaster
1238. Dr. Francis Townsend,"Advanced the Old Age Revolving Pension Plan
"1239. Election of 1936: candidates, issues"
1240. Literary Digest Poll,1936- An inaccurate poll taken on upcoming the presidential election. It over-represented the wealthy and thus erroneously predicted a Republican victory.
1241. Second New Deal,"Some thought the first New Deal (legislation passed in 1933) did too much and created a big deficit
1242. Social Security Act,One of the most important features of the Second New Deal established a retirement for persons over 65 funded by a tax on wages paid equally by employee and employer.
1243. Court-packing plan,"Because the Supreme Court was striking down New Deal legislation
1244. Chief Justice Charles Evans Hughes,"Began to vote with the more liberal members in the liberal-dominated Supreme Court. In June a conservative justice retired and Roosevelt had an opportunity to make an appointment
"1245. ""Conservative Coalition"" in Congress",1938 - Coalition of conservative Democrats and Republicans who united to curb further New Deal legistators. Motivated by fears of excessive federal spending and the exspansion of federal power.
1246. Robinson-Patman Act,"1937 - Amended federal anti-trust laws so as to outlaw ""price discrimination
1247. Miller-Tydings Act,1937 - Amended anti-trust laws to allow agreements to resell products at fxed retail prices in situations involving sales of trademarked good to a company's retail dealers.
1248. Hatch Act,1939 - Prohibited federal office holders from participating actively in political campaigns or soliciting or accepting contributions.
1249. Adkins v. Children's Hospital,1923 - The hospital fired employees because it didn't want to pay them what was reqired by the minimum wage law for women and children.
1250. Gitlow v. New York,1925 - Benjamin Gitlow was arrested for being a member of the Communist party. The New York court upheld the conviction.
1251. Schecter Poultry Corp. v. U.S.,"May
1252. Butler case,1936 - Declared AAA unconstitutional because it involved Congress levying a tax against the general wellfare.
1253. NLRB v. Jones and Laughlin Steel Corp.,"April 1937 - Sumpreme Court upheld the Wagner Act
1254. West Coast Hotel v. Parrish,1937 - Supreme Court upheld the Washington state minum wage statute.
1255. Darby Lumber Co. case,1941 - Overruled the Hamme case of 1918 by upholding the Fair Labor Standards Act of 1938.
1256. Curtiss-Wright Export Corp. case,"1936 - Upheld embargo impossed on arms destined for nations at war in the ""Chaco War"" that had broken out in 1932 between Bolivia and Paraguay."
1257. Montevideo Conference,The first of several Pan-America conferences held during the period between World War I and World War II concerning mutual defense and corporate between the countries of Latin America. The U.S. renounced the right to intervene in the affairs of Latin American countries.
1258. Rio de Janeiro Conference,"1933 - Delegation of 21 Latin American leaders
1259. Buenos Aires Conference,1936 - The U.S. agreed to submit all disputes from the Americas to arbitration.
1260. Lima Conference,1938 - Last of the Pan-American conferences held before the outbreak of World War II. Issued the Declaration of Lima asserting the unity of the Latin American nations and their determination to resist al forms of foreign agression.
1261. Declaration of Panama,1939 - Latin American governments drew a security line around the Western hemisphere and warned away foreign agressors.
1262. Act of Havana,"1940 - Approved by the 21 delegates of the Pan-American Union. Declared that any Latin American nation was permitted
1263. Jones Act,"1916 - Promised Philippine independence. Given freedom in 1917
"1264. Tydings-McDuffie Act, 1934
1265. Nye Committee,Gerald Nye of North Dakota believed that the U.S. should stay out of foreign wars.
"1266. ""Merchants of Death""",Liberal isolationists' term for companies which manufactured armaments. They felt that the companies were undermining national interests by assisting agressor nations.
1267. Neutrality legislation,"1935 - Upon the outbreak of war
"1268. Spanish Civil War (1936-1935), Franco"
1269. Ethiopia,"Mussolini invaded
1270. Mussolini (1883-1945),Fascist dictator of Italy from 1922-1943. Wanted to recreate the Roman Empire.
"1271. Japan attacks China, Chiang Kai-Shek"
1272. Panay Incident,"1937 - On the Yantze River in China
1273. Quarantine Speech,"1937 - In this speech Franklin D. Roosevelt compared Fascist agression to a contagious disease
"1274. Adolf Hitler (1889-1945), Nazism"
"1275. Munich Conference, appeasement
1276. Austria annexed,"March 12
1277. Nonagression pact between Germany and U.S.S.R.,"August 23
"1278. Invasion of Poland, Blitzkrieg"
1279. Axis Powers,"A series of treaties in 1936 and 37 between Germany
"1280. ""Cash and carry"" revision of neutrality","Stated the warring nations wishing to trade with the U.S. would have to pay cash and carry the goods away in their own ships. Benefitted the Allies
1281. Fall of France,"Summer
1282. America First Committee,1940 - Formed by die-hard isolationists who feared the U.S. going to war.
"1283. Isolationism, Charles Lindbergh"
1284. Committee to Defend America by Aiding the Allies,"1940 - Formed by isolationists who believed that the U.S. could avoid going to war by giving aid in the form of supplies and money to the Allies
1285. Smith Act,Required fingerprinting and registering of all aliens in the U.S. and made it a crime to teach or advocate the violent overthrow of the U.S. government.
1286. Tojo (Hideki),Prime Minister of Japan (1941-1944) and leading advocate of Japanese military conquest during World War II.
1287. Destroyer Deal,"1940 - U.S. agreed to ""lend"" its older destroyers to Great Britain. (Destroyers were major warships that made up the bulk of most countries' navies.) Signaled the end of U.S. neutrality in the war."
"1288. Election of 1940: candidates, issues"
"1289. ""Lend lease""","March 1941 - Authorized the president to transfer
1290. Atlantic Charter,"August 1941 - Drawn up br FDR and Churchill with eight main principles: * Renunciation of territorial agression
1291. Pearl Harbor,"7:50-10:00 AM
1292. Japanese relocation,"The bombing of Pearl Harbor created widespread fear that the Japanese living in the U.S. were actually spies. FDR issued executive order 9066
1293. Bond drives,Celebrities and government representatives traveled around the U.S. selling government bonds ot raise money for the war effort. Extremely successful in raising funds.
1294. War Production Board,Converted factories from civilian to military production. Manufacturing output tripled.
1295. War Labor Board,"Acted as a supreme court for labor cases. Did more harm than good when it tried to limit wages
1296. Office of Price Administration (OPA),Government agency which successful combatted inflation by fixing price ceilings on commodities and introducing rationing programs during World War II.
1297. General Dwight D. Eisenhower (1870-1969),Served as the supreme commander of the western Allied forces and became chief of staff in 1941. Sent to Great Britain in 1942 as the U.S. commander in Europe.
1298. General Douglas MacArthur,"Military governor of the Philippines
"1299. Genocide, ""Final Solution"""
1300. Second front,"The Russians were suffering heavy casualties fighting the German invasion of Russia. Stalin urged the Allies to open a ""second front"" in the west to relieve the pressure on the Russians. The Allies did so
1301. D-Day,"June 6
1302. Stalingrad,"Site of critical World War II Soviet victory that reversed Germany's advance to the East. In late 1942
1303. Winston Churchill,Prime minister of Great Britain during World War II.
1304. Casablanca Conference,"Jan. 14-23
1305. Cairo Conference,"November
1306. Tehran Conference,"December
"1307. ""Unconditional surrender",It means the victor decides all the conditions the loser must agree to. The Allies wanted Germany and Japan to agree to unconditional surrender.
1308. Okinawa,"The U.S. Army in the Pacific had been pursuing an ""island-hopping"" campaign
1309. Battle of the Bulge,"December
1310. Manhattan Project,A secret U.S. project for the construction of the atomic bomb.
1311. Robert Oppenheimer (1904-1967),"Physics professor at U.C. Berkeley and CalTech
1312. Atomic bomb,A bomb that uses the fission of radioactive elements such as uranium or plutonium to create explosions equal to the force of thousands of pounds of regular explosives.
"1313. Hiroshima, Nagasaki"
1314. Yalta Conference,"February
1315. Potsdam Conference,"July 26
"1316. Partitioning of Korea, Vietnam
1317. Charles de Gaulle (1890-1970),He formed the French resistance movement in London immediately after the French surrender at Vichy. He was elected President of the Free French government in exile during the war and he was the first provisional president of France after its liberation.
"1318. Winston Churchill (1874-1965), ""Iron Curtain"" speech"
1319. Joseph Stalin (1879-1953),"After Lenin died in 1924
1320. Bretton Woods Conference,"The common name for the United Nations Monetary and Financial Conference held in New Hampshire
1321. Dumbarton Oaks Conference,"In a meeting near Washington
1322. San Francisco Conference and U.N. Charter,1945 - This conference expanded the drafts of the Yalta and Dumbarton Oaks conferences and adopted the United Nations Charter.
"1323. United Nations: Security Council, General Assembly
1324. Atomic Energy Commission,Created in 1946 to oversee the research and production of atomic power.
1325. Superpowers,The name give to the U.S.S.R. and the U.S. because of their dominance in the arms race and economic struggle for world power. Both countries had nuclear bombs by the late 1940's and 1950's.
"1326. Socialism, Communism"
1327. Satellites,Eastern European countries conquered by the U.S.S.R. during the Cold War.
1328. Nuremberg trials,"19 out of 22 German civil and military leaders were found guilty of ""war crimes."" 12 were sentenced to death
1329. Department of Defense created,"Headed by McNamara
"1330. Voice of America, CARE"
"1331. Yugoslavia, Marshall Tito"
1332. Czechoslovakian coup,"1948 - Czechoslovakia succumbed to Soviet subversion. Although moderates and Communists shared power after WWII
"1333. Containment, George F. Kennan"
1334. Truman Doctrine,1947 - Stated that the U.S. would support any nation threatened by Communism.
1335. Marshall Plan,"Introduced by Secretary of State George G. Marshall in 1947
1336. Point Four,Program proposed by Truman to help the world's backwards areas.
1337. Israel created,"1948 - In 1947 the UN General Assembly had approved the creation of a Jewish homeland by ending the British mandate in Palestine and partitioning it into two states: one Jewish and one Arab. On May 14
1338. Berlin blockade,"April 1
1339. North Atlantic Treaty Organization (NATO),"Chartered April
1340. Warsaw Pact,"To counter the NATO buildup
1341. Southeast Asia Treaty Organization (SEATO),"September
1342. Central Treaty Organization (CENTO),"Members were the U.S.
"1343. Australia, New Zealand
1344. Collective security,"An Article 10 provision of the League charter
"1345. Fall of China, Mao Tse-Tung (Mao Zedong)"
1346. State Department White Paper,"1949 - Set forth the State Department's efforts and future plans to stoop Communism. With regard to China
"1347. Chiang Kai-Shek, Formosa"
"1348. Quemoy, Matsu"
"1349. Korean War, limited war"
1350. Truman-MacArthur Controversy,"Truman removed MacArthur from command in Korea as punishment for MacArthur's public criticism of the U.S. government's handling of the war. Intended to confirm the American tradition of civilian control over the military
1351. Mahatma Gandhi,Great revolutionary who led India to independence from Great Britain through passive resistance and civil disobedience based upon Henry David Thoreau's doctrines.
1352. Dien Bien Phu,"France had exercised colonial control of Indochina until WWII. After Japan's defeat in 1945
"1353. Vietnam, Ho Chi Minh"
1354. Bricker Amendment,"Proposal that international agreements negotiated by the executive branch would become law if and only if they were approved by Congress and didn't conflict with state laws. Isolationist measure
1355. John Foster Dulles,As Secretary of State. he viewed the struggle against Communism as a classic conflict between good and evil. Believed in containment and the Eisenhower doctrine.
1356. Massive Retaliation,"In the 1950's after Stalin died
1357. Brinksmanship,"The principle of not backing down in a crisis
1358. Preemptive Strike,The doctrine of attacking an enemy force before they can attack you.
"1359. Nikita Khrushchev, 1955 Geneva Summit"
1360. Hungarian Revolt,"1956 - Hungary tried to overthrow the Communist government
"1361. Abdul Nasser, Suez Crisis"
1362. Peaceful coexistence,Khrushchev's proposal that the U.S. and U.S.S.R. could compromise and learn to live with each other.
1363. Eisenhower doctrine,Eisenhower proposed and obtained a joint resolution from Congress authorizing the use of U.S. military forces to intervene in any country that appeared likely to fall to communism. Used in the Middle East.
1364. Common Market,Popular name for the European Economic Community established in 1951 to encourage greater economic cooperation between the countries of Western Europe and to lower tariffs on trade between its members.
1365. Organization of American States (OAS),"Founded in 1948 by 21 nations at the Ninth Pa-American Conference
1366. Castro's Revolution,"1959 - A band of insurgents led by Fidel Castro succeeded in overthrowing the corrupt government of Juan Baptista
1367. Bay of Pigs,"1961 - 1400 American-trained Cuban expatriates left from Nicaragua to try to topple Castro's regime
1368. Alliance for Progress,1961 - Formed by John F. Kennedy to build up Third World nations to the point where they could manage their own affairs.
1369. Cuban Missile Crisis,"October 14-28
1370. ICBM,"Inter-Continental Ballistic Missiles
1371. Revenue Act of 1942,Effort to increase tax revenues to cover the cost of WWII by adding additional graduated steps to the income tax and lowering the threshold at which lower income earners began to pay tax.
1372. G.I. Bill of Rights 1944,"Servicemen's Readjustment Act
1373. Office of War mobilization and Reconversion,1944 - Directed by James F. Byrnes. Determined whether any prime contract for war production scheduled for termination after WWII should be continued in force.
1374. Extension of OPA vetoed,"OPA had controlled wartime prices and a watered-down version was approved by Congress to stay in effect after the war
1375. Postwar Inflation,"The high volume of U.S. spending during the war
1376. Baby Boom,30 million war babies were born between 1942 and 1950.
1377. Employment Act of 1946,Started because of the flood of available workers after WWII. Established the Council of Economic Advisors. declared that the government was committed to maintaining maximum employment.
1378. Taft-Hartley Act,"1947 - Senator Robert A. Taft co-authored the labor-Management Relations Act with new Jersey Congressman Fred Allan Hartley
1379. Senator Robert A. Taft,A key Republican leader in the Senate and a supporter of Joseph McCarthy.
1380. Right-to-Work laws,State laws that provide that unions cannot impose a requirement that workers join the union as a condition of their employment.
"1381. Election of 1948: candidates, issues"
"1382. Dixiecrats, J. Strom Thurmond"
"1383. Progressive Party, Henry Wallace"
1384. Fair Deal,"Truman's policy agenda -- he raised the minimum wage from 65 to 75 cents an hour
1385. Americans for Democratic Action (ADA),An organization for the advancement of liberal causes in the 1940s.
1386. National Security Acts,"1947 - Created the cabinet post of Secretary of Defense
1387. House Un-American Activities Committee (HUAC),"Committee in the House of Representatives founded on a temporary basis in 1938 to monitor activities of foreign agents. Made a standing committee in 1945. During World War II it investigated pro-fascist groups
"1388. Sen. Joseph McCarthy (1908-1957), McCarthyism"
1389. Alger Hiss,A former State Department official who was accused of being a Communist spy and was convicted of perjury. The case was prosecuted by Richard Nixon.
1390. McCarran Internal Security Act,1950 - Required Communists to register and prohibited them from working for the government. Truman described it as a long step toward totalitarianism. Was a response to the onset of the Korean war.
1391. Julius and Ethel Rosenberg,"Arrested in the Summer of 1950 and executed in 1953
1392. Twenty-Second Amendment,Proposed in 1947 and ratified in 1951. It limited the number of terms that a president may serve to two. Was brought on by FDR's 4-term presidency.
1393. Election of 1952: candidates & issues,"Republicans - Eisenhower/Nixon
1394. Ike (Eisenhower) and Modern Republicanism,"Conservative about federal spending
1395. Fiscal Management,"Starting in 1950
1396. Reinhold Niebuhr (1892-1971),"A Protestant minister who
"1397. Ayn Rand, The Fountainhead"
1398. McCarran-Walter Immigration Act,"1952 - Immigration and Naturalization Act of 1952
"1399. Department of Health, Education and Welfare (HEW)"
1400. Interstate Highways Act,1944 - Began federal funding for an interstate highway system.
1401. St Lawrence Seaway,"Waterway to connect Great Lakes on the U.S./Canadian border to the Atlantic Ocean via the St. Lawrence River
1402. Landrum-Griffin Act,"1959 - Specially tailored to make labor officials responsible for the union's financial affairs
1403. Jimmy Hoffa,"Leader of the teamster's union
1404. AFL-CIO merger,"In 1955 at a New York City Convention
"1405. Alaska, Hawaii"
1406. Sputnik,"October
1407. National Defense Education Act (NDEA Act),1958 - This created a multi-million dollar loan fund for college students and granted money to states for upgrading curriculum in the sciences and foreign languages.
"1408. ""Military-Industrial Complex""",Eisenhower first coined this phrase when he warned American against it in his last State of the Union Address. He feared that the combined lobbying efforts of the armed services and industries that contracted with the military would lead to excessive Congressional spending.
1409. Philip Randolph,"President of the Brotherhood of Car Porters and a Black labor leader
1410. Fair Employment Practices Committee,"Enacted by executive order 8802 on June 25
1411. Detroit race riots,"June 25
"1412. Gunnar Myrdal, An American Dilemma"
1413. Rural South vs. Urban North,Southern communities were more rural and Northern communities more urban.
1414. To Secure these Rights,"A report by the President's Committee on Civil Rights
"1415. Desegregation of the Armed Forces, 1948"
1416. Korean War (1950-1953),"At the end of WW II
"1417. ""Separate but Equal""","In 1896
"1418. Brown v. The Board of Education of Topeka, Kansas"
1419. Thurgood Marshall (1908-1993),"In 1967
"1420. Rosa Parks, Montgomery Bus Boycott"
"1421. Reverend Martin Luther King, Jr. (1929-1968)"
"1422. Little Rock, Arkansas Crisis"
"1423. Civil Rights Act, 1957"
"1424. Civil Rights Act, 1960"
"1425. Literacy tests, grandfather clause
"1426. West Virginia State Board of Education v. Barnette, 1942"
"1427. Korematsu v. U.S., 1944"
"1428. Smith v. Allwright, 1944"
"1429. Dennis v. U.S., 1951"
"1430. Youngstown Sheet and Tube Company v. Sawyer, 1952"
"1431. Sweatt v. Painter, 1950"
"1432. Brown v. The Board of Education of Topeka, Kansas"
1433. Montgomery Bus Boycott,"December
"1434. Reverend Martin Luther King, Jr. (1929-1968)"
1435. Southern Christian Leadership Conference,"Headed by Reverend Martin Luther King
1436. National Association for the Advancement of Colored People (NAACP),"Founded in 1909 to improve living conditions for inner city Blacks
1437. Urban League,"Helping Blacks to find jobs and homes
1438. Congress of Racial Equality (CORE),"1941-42 - Interracial until 1962
1439. Student Nonviolent Coordinating Committee (SNCC),"Organized in the fall of 1960 by Reverend Martin Luther King
"1440. Sit-ins, freedom rides"
"1441. ""I have a dream"" speech","Given August 1963 from the steps of the Lincoln Memorial in Washington D.C. by Dr. Martin Luther King
"1442. March on Washington, 1963"
1443. Medgar Evers,"Director of the NAACP in Mississippi and a lawyer who defended accused Blacks
1444. Adam Clayton Powell,"Flamboyant Congressman from Harlem and chairman of the House and Labor Committee
1445. H. Rap Brown,"A proponent of Black Power
1446. Malcom X,"One-time pimp and street hustler
1447. Stokely Carmichael,"In 1966
1448. Black Panthers,"Led by Bobby Seale and Huey Newton
1449. Black Muslims,"Common name for the Nation of Islam
1450. Angela Davis,"Black Communist college professor affiliated with the Black Panthers
1451. Black Power,"A slogan used to reflect solidarity and racial consciousness
1452. Twenty-Fourth Amendment,"1964 - It outlawed taxing voters
"1453. Watts, Detroit race riots"
1454. Kerner Commission on Civil Disorders,"In 1968
"1455. De Facto, De Jure segregation"
1456. White Backlash,"Resistance to Black demands led by ""law and order"" advocates whose real purpose was to oppose integration."
1457. Robert Weaver (b. 1907),"Influential Black economist
1458. Thurgood Marshall (1908-1993),"In 1967
"1459. Civil Rights Act of 1964, Public Accommodations Section of the Act"
"1460. Voting Rights Act, 1965"
"1461. Civil Rights Act, 1968"
1462. Geography: North and South Vietnam,North and South Vietnam were split at the 17th parallel. North Vietnam is bordered by the Gulf of Tonkin on the east and Laos on the west. South Vietnam is bordered by Laos and Cambodia on the west. West of Laos and Cambodia lays Thailand.
1463. Ho Chi Minh (1890-1969),"North Vietnamese leader who had lead the resistance against the Japanese during WW II and at the end of the war had led the uprising against the French Colonial government. He had traveled in Europe
1464. Viet Cong,Name given to the guerilla fighters on the Communist side. The North Vietnamese Army (NVA) were regular troops.
1465. Dien Bien Phu,"In 1946
"1466. Geneva Conference, 1954"
1467. National Liberation Front (NLF),"Official title of the Viet Cong. Created in 1960
1468. Gulf of Tonkin Resolution,"August
1469. Demilitarized Zone (DMZ),"An area that both militaries are required to stay out of in order to create a buffer between nations. In Vietnam
1470. Domino Theory,"1957 - It stated that if one country fell to Communism
1471. Tet Offensive,"1968
"1472. Kent State Incident, Jackson State Incident"
"1473. Daniel Ellsberg, Pentagon Papers"
"1474. My Lai, Lt. Calley"
"1475. Hanoi, Haiphong"
1476. Senator Fullbright,"Anti-Vietnam War Senator from Arkansas
1477. Bombing of Laos and Cambodia,"March
1478. Vietnamization,"The effort to build up South Vietnamese troops while withdrawing American troops
"1479. Paris Accord, 1973"
"1480. Election of 1960: issues, candidates
"1481. ""Impeach Earl Warren""","Chief Justice of the Supreme Court
"1482. Miranda Decision, Escobedo Decision"
"1483. Baker v. Carr, 1962"
"1484. Gideon v. Wainwright, 1963"
"1485. Rachel Carson, Silent Spring"
1486. New Frontier,"The ""new"" liberal and civil rights ideas advocated by Kennedy
1487. Kennedy and the Steel Price Rollback,"Angry at steel companies for cutting wages and increasing prices in the face of his low-inflation plan
"1488. Peace Corps., Vista"
1489. Berlin Wall,"1961 - The Soviet Union
1490. Common Market,Popular name for the European Economic Community established in 1951 to encourage greater economic cooperation between the countries of Western Europe and to lower tariffs on trade between its members.
"1491. Trade Expansion Act, 1962"
"1492. Nuclear Test Ban Treaty, 1963"
"1493. Lee Harvey Oswald, Warren Commission"
"1494. Bay of Pigs, 1961"
"1495. United Nations in the Congo, 1960"
